lr-AdamW,step,val_loss,val_acc,val_acc_top2,val_precision,val_recall,epoch,train_acc,train_loss
5e-10,0,,,,,,,,
,31,1.9656835794448853,0.12489927477840451,0.2586623690572119,0.15653588392574008,0.11234837598800006,0,,
,31,,,,,,0,0.10203125327825546,1.9975409507751465
5e-05,32,,,,,,,,
,63,1.7476404905319214,0.3561643835616438,0.5777598710717163,0.23800856593295178,0.22692925685612236,1,,
,63,,,,,,1,0.2982291579246521,1.8077733516693115
0.0001,64,,,,,,,,
,95,1.6444555521011353,0.42143432715551976,0.6261079774375503,0.28828902630411524,0.2775470395607589,2,,
,95,,,,,,2,0.4053124785423279,1.675891637802124
0.00015,96,,,,,,,,
,127,1.5645893812179565,0.45608380338436744,0.6551168412570507,0.3271927671044846,0.28404290077764427,3,,
,127,,,,,,3,0.4286458194255829,1.6128085851669312
0.0002,128,,,,,,,,
,159,1.5107837915420532,0.46897663174858983,0.6865431103948428,0.37740390585833417,0.3068794653566989,4,,
,159,,,,,,4,0.47463539242744446,1.5318901538848877
0.00025,160,,,,,,,,
,191,1.5174756050109863,0.47300564061240935,0.6817082997582594,0.3642492131928114,0.29388118604404984,5,,
,191,,,,,,5,0.5041145086288452,1.4494616985321045
0.0003,192,,,,,,,,
,223,1.507144570350647,0.48670427074939565,0.6929895245769541,0.40300883579258173,0.31858750316560236,6,,
,223,,,,,,6,0.51973956823349,1.386812448501587
0.00035,224,,,,,,,,
,255,1.4286919832229614,0.5100725221595488,0.7244157937147462,0.4900038910431842,0.3111913883878223,7,,
,255,,,,,,7,0.5553644895553589,1.3161042928695679
0.0004,256,,,,,,,,
,287,1.5818288326263428,0.44480257856567285,0.6631748589846898,0.410554115014666,0.29783341714340195,8,,
,287,,,,,,8,0.5910937190055847,1.2217141389846802
0.00045000000000000004,288,,,,,,,,
,319,1.503403902053833,0.47300564061240935,0.6655922643029815,0.40610867504721,0.3580895156224878,9,,
,319,,,,,,9,0.6000520586967468,1.1440352201461792
0.0005,320,,,,,,,,
,351,1.6301624774932861,0.42868654311039484,0.6559226430298146,0.49102486023224057,0.29874537978666,10,,
,351,,,,,,10,0.6134374737739563,1.1417700052261353
0.0004998477067547739,352,,,,,,,,
,383,1.4029532670974731,0.5253827558420628,0.7469782433521354,0.5480068406373754,0.32393112380862693,11,,
,383,,,,,,11,0.6604166626930237,0.9710136651992798
0.0004993910125649561,384,,,,,,,,
,415,1.4972431659698486,0.48186946011281223,0.6921837228041902,0.39772457873645406,0.37772296338149103,12,,
,415,,,,,,12,0.6957290768623352,0.8839028477668762
0.0004986304738420684,416,,,,,,,,
,447,1.5009177923202515,0.5132957292506044,0.7203867848509267,0.373101941875246,0.32966282121485724,13,,
,447,,,,,,13,0.7290103435516357,0.8142752647399902
0.0004975670171853926,448,,,,,,,,
,479,1.636278748512268,0.5044319097502015,0.7477840451248993,0.5271174188314228,0.28241054880448574,14,,
,479,,,,,,14,0.75822913646698,0.7231636047363281
0.000496201938253052,480,,,,,,,,
,511,1.6543492078781128,0.4931506849315068,0.717163577759871,0.5233867267819553,0.34751174247767136,15,,
,511,,,,,,15,0.7981250882148743,0.6004453301429749
0.0004945369001834514,512,,,,,,,,
,543,1.5879181623458862,0.5358581788879936,0.7437550362610797,0.5390544315691284,0.3903519961758201,16,,
,543,,,,,,16,0.8081769943237305,0.556010365486145
0.0004925739315689991,544,,,,,,,,
,575,1.740963101387024,0.5269943593875906,0.7332796132151491,0.44141094260001645,0.35978970552085465,17,,
,575,,,,,,17,0.8557291626930237,0.4516342878341675
0.0004903154239845797,576,,,,,,,,
,607,1.5901719331741333,0.5132957292506044,0.7316680096696213,0.44911159270715306,0.41243677426066566,18,,
,607,,,,,,18,0.8174479007720947,0.5262541174888611
0.0004877641290737884,608,,,,,,,,
,639,1.6412125825881958,0.5334407735697019,0.7453666398066076,0.5146030467551173,0.3723089145126072,19,,
,639,,,,,,19,0.8831771016120911,0.3683975338935852
0.0004849231551964771,640,,,,,,,,
,671,2.0312845706939697,0.46817082997582593,0.6905721192586624,0.43072986377277267,0.3490767019712875,20,,
,671,,,,,,20,0.8830208778381348,0.36455947160720825
0.00048179596364169685,672,,,,,,,,
,703,1.8702393770217896,0.49153908138597907,0.7284448025785657,0.48835507846440024,0.3879995785947586,21,,
