,test_score,test_std,test_score_0,test_score_1,test_score_2,test_score_3,metric,seeds,task,split,representation,pretrained
0,0.7903329065300896,0.007119431206834124,0.7836107554417413,0.7976952624839949,0.7848911651728553,0.795134443021767,accuracy,4,enzyme_class,random,graph,False
1,0.8153008962868118,0.010316373849997278,0.8015364916773368,0.8258642765685019,0.8194622279129321,0.8143405889884763,accuracy,4,enzyme_class,random,graph,True
2,0.7122279129321383,0.015902358960786435,0.7157490396927016,0.7234314980793854,0.6888604353393086,0.7208706786171575,accuracy,4,enzyme_class,random,point_cloud,False
3,0.6991037131882203,0.006005653981848173,0.6965428937259923,0.706786171574904,0.7003841229193342,0.6927016645326505,accuracy,4,enzyme_class,random,point_cloud,True
4,0.6558898847631242,0.012163892445582553,0.649167733674776,0.6696542893725992,0.6427656850192062,0.6619718309859155,accuracy,4,enzyme_class,random,voxel,False
5,0.706145966709347,0.014200430866081217,0.7119078104993598,0.6850192061459667,0.7119078104993598,0.7157490396927016,accuracy,4,enzyme_class,random,voxel,True
6,0.7373397435897436,0.015869970415554543,0.7583333333333333,0.7224358974358974,0.7282051282051282,0.7403846153846154,accuracy,4,enzyme_class,sequence,graph,False
7,0.7852564102564102,0.01113983794678384,0.7794871794871795,0.7788461538461539,0.801923076923077,0.7807692307692308,accuracy,4,enzyme_class,sequence,graph,True
8,0.6349358974358974,0.029077891571021548,0.5967948717948718,0.6512820512820513,0.6628205128205128,0.6288461538461538,accuracy,4,enzyme_class,sequence,point_cloud,False
9,0.6306089743589743,0.02268406702464168,0.6551282051282051,0.6153846153846154,0.6076923076923076,0.6442307692307693,accuracy,4,enzyme_class,sequence,point_cloud,True
10,0.5975961538461539,0.014164346021784827,0.5826923076923077,0.6115384615384616,0.5884615384615385,0.6076923076923076,accuracy,4,enzyme_class,sequence,voxel,False
11,0.6166666666666667,0.016089615894886066,0.6275641025641026,0.6256410256410256,0.6205128205128205,0.592948717948718,accuracy,4,enzyme_class,sequence,voxel,True
12,0.6211389961389961,0.02591838143262074,0.6447876447876448,0.584942084942085,0.6332046332046332,0.6216216216216216,accuracy,4,enzyme_class,structure,graph,False
13,0.6454311454311454,0.0377934525769833,0.5907335907335908,0.6731016731016731,0.667953667953668,0.6499356499356499,accuracy,4,enzyme_class,structure,graph,True
14,0.5997425997425997,0.02081867963715304,0.5785070785070785,0.6248391248391248,0.6081081081081081,0.5875160875160875,accuracy,4,enzyme_class,structure,point_cloud,False
15,0.6138996138996139,0.018456992504761002,0.5990990990990991,0.6235521235521235,0.6351351351351351,0.5978120978120978,accuracy,4,enzyme_class,structure,point_cloud,True
16,0.5498712998712999,0.0335341433367011,0.564993564993565,0.5752895752895753,0.5585585585585585,0.5006435006435006,accuracy,4,enzyme_class,structure,voxel,False
17,0.6053732303732304,0.018975996396474626,0.5939510939510939,0.6177606177606177,0.6248391248391248,0.584942084942085,accuracy,4,enzyme_class,structure,voxel,True
18,0.7279884318766067,0.004402039971729717,0.7217223650385605,0.7313624678663239,0.7281491002570694,0.730719794344473,accuracy,4,pfam,random,graph,False
19,0.7392352185089974,0.003375310894727686,0.7410025706940874,0.7390745501285347,0.7345758354755784,0.7422879177377892,accuracy,4,pfam,random,graph,True
20,0.6094151670951158,0.003939925912114289,0.6124678663239075,0.6066838046272494,0.6131105398457584,0.6053984575835476,accuracy,4,pfam,random,point_cloud,False
21,0.6516709511568124,0.0022262863850499503,0.6484575835475579,0.653598971722365,0.6523136246786633,0.6523136246786633,accuracy,4,pfam,random,point_cloud,True
22,0.5430591259640103,0.00705966454725111,0.5430591259640103,0.5526992287917738,0.5359897172236504,0.5404884318766067,accuracy,4,pfam,random,voxel,False
23,0.5920629820051414,0.004704411151670502,0.5880462724935732,0.5880462724935732,0.5970437017994858,0.5951156812339332,accuracy,4,pfam,random,voxel,True
24,0.6352893890675241,0.01963500200394238,0.632475884244373,0.6196141479099678,0.6636655948553055,0.6254019292604501,accuracy,4,pfam,sequence,graph,False
25,0.6594051446945337,0.020360537228649358,0.6762057877813504,0.6363344051446945,0.6768488745980707,0.6482315112540193,accuracy,4,pfam,sequence,graph,True
26,0.5002411575562701,0.00846408692244593,0.5009646302250804,0.5115755627009646,0.4916398713826366,0.4967845659163987,accuracy,4,pfam,sequence,point_cloud,False
27,0.5888263665594855,0.0026563845083373253,0.5884244372990354,0.5855305466237942,0.5919614147909967,0.5893890675241158,accuracy,4,pfam,sequence,point_cloud,True
28,0.4215434083601286,0.016113570797172766,0.4440514469453376,0.412540192926045,0.4218649517684887,0.4077170418006431,accuracy,4,pfam,sequence,voxel,False
29,0.47749196141479094,0.023548161499849386,0.4961414790996785,0.4893890675241157,0.4434083601286173,0.4810289389067524,accuracy,4,pfam,sequence,voxel,True
30,0.4109324758842443,0.009010867977270612,0.412540192926045,0.3977491961414791,0.4170418006430868,0.4163987138263665,accuracy,4,pfam,structure,graph,False
31,0.4176848874598071,0.011761634185319541,0.4340836012861736,0.4176848874598071,0.4070739549839228,0.4118971061093248,accuracy,4,pfam,structure,graph,True
32,0.26937299035369766,0.012309626330533499,0.2559485530546623,0.2649517684887459,0.2713826366559485,0.2852090032154341,accuracy,4,pfam,structure,point_cloud,False
33,0.29694533762057873,0.015374796813520287,0.2874598070739549,0.2977491961414791,0.2842443729903537,0.3183279742765273,accuracy,4,pfam,structure,point_cloud,True
34,0.18673633440514464,0.010247015508938763,0.1935691318327974,0.1784565916398713,0.1774919614147909,0.1974276527331189,accuracy,4,pfam,structure,voxel,False
