lr-AdamW,step,val_loss,val_acc,val_acc_top2,val_precision,val_recall,epoch,train_acc,train_loss
5e-10,0,,,,,,,,
,31,1.9738242626190186,0.1063658340048348,0.19580983078162773,0.11901273257897578,0.12977240439020338,0,,
,31,,,,,,0,0.12328123301267624,1.9789148569107056
5e-05,32,,,,,,,,
,63,1.6947413682937622,0.44802578565672846,0.6051571313456889,0.24994390507957948,0.22178909286516926,1,,
,63,,,,,,1,0.37166669964790344,1.8069666624069214
0.0001,64,,,,,,,,
,95,1.7106294631958008,0.40048348106365833,0.5914585012087027,0.2837277419355743,0.18708271040896235,2,,
,95,,,,,,2,0.4635936915874481,1.6340171098709106
0.00015,96,,,,,,,,
,127,1.7395724058151245,0.41337630942788073,0.6301369863013698,0.25701364070974014,0.18225349234911128,3,,
,127,,,,,,3,0.4904687702655792,1.5225471258163452
0.0002,128,,,,,,,,
,159,1.5792516469955444,0.40048348106365833,0.7010475423045931,0.37476725806802447,0.1869272481663746,4,,
,159,,,,,,4,0.5146875381469727,1.4683425426483154
0.00025,160,,,,,,,,
,191,2.3174614906311035,0.3408541498791297,0.6317485898468976,0.2501170001170001,0.14924943192298484,5,,
,191,,,,,,5,0.5319791436195374,1.3949882984161377
0.0003,192,,,,,,,,
,223,1.6074037551879883,0.44399677679290894,0.6857373086220789,0.25375919620580084,0.21479877417025436,6,,
,223,,,,,,6,0.5556249618530273,1.3323153257369995
0.00035,224,,,,,,,,
,255,1.5650250911712646,0.44560838033843675,0.6470588235294118,0.28362195415411123,0.260854860680021,7,,
,255,,,,,,7,0.568489670753479,1.2898310422897339
0.0004,256,,,,,,,,
,287,1.8654643297195435,0.37872683319903305,0.6800966962127317,0.24511161930835682,0.16422468770481188,8,,
,287,,,,,,8,0.5818749666213989,1.246297836303711
0.00045000000000000004,288,,,,,,,,
,319,2.057978630065918,0.37550362610797744,0.6897663174858985,0.12008927155797895,0.15202879041784567,9,,
,319,,,,,,9,0.5665625333786011,1.2499239444732666
0.0005,320,,,,,,,,
,351,2.229417324066162,0.3569701853344077,0.6019339242546333,0.19604463287254953,0.22046843297083676,10,,
,351,,,,,,10,0.5943750143051147,1.1799211502075195
0.0004998477067547739,352,,,,,,,,
,383,3.554558753967285,0.2062852538275584,0.36261079774375504,0.22622641026448034,0.18916438038224545,11,,
,383,,,,,,11,0.6174479722976685,1.112912654876709
0.0004993910125649561,384,,,,,,,,
,415,1.606703758239746,0.40692989524576956,0.6502820306204674,0.26416511996021363,0.24528930229546284,12,,
,415,,,,,,12,0.599270761013031,1.147866129875183
0.0004986304738420684,416,,,,,,,,
,447,2.413623571395874,0.19016921837228043,0.3448831587429492,0.14078219763301258,0.21786653289375418,13,,
,447,,,,,,13,0.6360415816307068,1.044392466545105
0.0004975670171853926,448,,,,,,,,
,479,2.2736778259277344,0.39323126510878326,0.6889605157131345,0.21692326771595546,0.18029630023900442,14,,
,479,,,,,,14,0.623541533946991,1.046004056930542
0.000496201938253052,480,,,,,,,,
,511,3.1193137168884277,0.37469782433521354,0.5616438356164384,0.2608164121322016,0.20858128652274074,15,,
,511,,,,,,15,0.6842188239097595,0.8925822377204895
0.0004945369001834514,512,,,,,,,,
,543,3.138530731201172,0.39403706688154716,0.6857373086220789,0.380672268907563,0.16554253562500246,16,,
,543,,,,,,16,0.698645830154419,0.8672139644622803
0.0004925739315689991,544,,,,,,,,
,575,2.0336267948150635,0.3827558420628525,0.5527800161160354,0.26115805663020025,0.2919049249637594,17,,
,575,,,,,,17,0.6978645324707031,0.855634331703186
0.0004903154239845797,576,,,,,,,,
,607,2.20330548286438,0.3569701853344077,0.6406124093473006,0.3473392784286297,0.17625666551200572,18,,
,607,,,,,,18,0.6817708015441895,0.8730546236038208
0.0004877641290737884,608,,,,,,,,
,639,1.5182619094848633,0.49476228847703463,0.7074939564867043,0.4601689821519859,0.28044325448248986,19,,
,639,,,,,,19,0.7279167175292969,0.7417857050895691
0.0004849231551964771,640,,,,,,,,
,671,2.457665205001831,0.40209508460918614,0.717163577759871,0.4659722043426498,0.1932499692700204,20,,
,671,,,,,,20,0.7595312595367432,0.6770597100257874
0.00048179596364169685,672,,,,,,,,
,703,3.1486523151397705,0.37792103142626915,0.5753424657534246,0.15696897772864557,0.21028064986755518,21,,
,703,,,,,,21,0.8014582395553589,0.5695006251335144
0.0004783863644106502,704,,,,,,,,
,735,3.0510799884796143,0.33360193392425463,0.621273166800967,0.13391450013401232,0.15437940457356536,22,,
,735,,,,,,22,0.8056769967079163,0.5485309362411499
0.00047469851157479177,736,,,,,,,,
,767,2.6146814823150635,0.3182917002417405,0.5253827558420628,0.25269551599633144,0.24977215946067094,23,,
,767,,,,,,23,0.7876561284065247,0.5900231003761292
0.00047073689821473173,768,,,,,,,,
,799,2.8974740505218506,0.25543916196615635,0.5713134568896051,0.44098228394614525,0.2073437701899953,24,,
,799,,,,,,24,0.7656250596046448,0.6677089333534241
0.00046650635094610973,800,,,,,,,,
,831,2.3371129035949707,0.35132957292506045,0.6220789685737309,0.35789237609982594,0.18032140404043667,25,,
,831,,,,,,25,0.8144271373748779,0.5309187769889832
0.00046201202403910646,832,,,,,,,,
,863,4.486630439758301,0.330378726833199,0.5092667203867849,0.31762466678101287,0.25122177679346236,26,,
,863,,,,,,26,0.8200520873069763,0.5101445317268372
0.00045725939313876043,864,,,,,,,,
,895,2.6995935440063477,0.4246575342465753,0.6253021756647864,0.2686413898994156,0.21490075086241742,27,,
,895,,,,,,27,0.8849478960037231,0.35437509417533875
0.0004522542485937369,896,,,,,,,,
,927,4.347336292266846,0.36422240128928285,0.6825141015310233,0.28340677990273677,0.163088149025091,28,,
,927,,,,,,28,0.8702605366706848,0.3738279342651367
0.00044700268840168044,928,,,,,,,,
,959,10.275938034057617,0.12812248186946013,0.42062852538275586,0.22975966103082865,0.1849635156389415,29,,
,959,,,,,,29,0.8094269633293152,0.5474853515625
0.0004415111107797445,960,,,,,,,,
,991,3.377570867538452,0.4254633360193392,0.6261079774375503,0.28812116232853857,0.26527969113626504,30,,
,991,,,,,,30,0.8397917151451111,0.4627387225627899
0.00043578620636934855,992,,,,,,,,
,1023,3.060286521911621,0.4512489927477841,0.6905721192586624,0.39660691869289283,0.20786801048529777,31,,
,1023,,,,,,31,0.8459895253181458,0.42514941096305847
0.0004298349500846628,1024,,,,,,,,
,1055,5.565860748291016,0.3722804190169218,0.5439161966156325,0.30546717370678167,0.17097113630922797,32,,
,1055,,,,,,32,0.8814584612846375,0.34570765495300293
0.00042366459261474935,1056,,,,,,,,
,1087,2.453465223312378,0.47703464947622887,0.6583400483481063,0.4150720012143421,0.38778953653482384,33,,
,1087,,,,,,33,0.9443748593330383,0.19129493832588196
0.0004172826515897146,1088,,,,,,,,
,1119,2.3740177154541016,0.5012087026591459,0.6929895245769541,0.39961490566504093,0.40648088907450125,34,,
,1119,,,,,,34,0.9825000166893005,0.08980607986450195
0.0004106969024216348,1120,,,,,,,,
,1151,2.8864283561706543,0.47139403706688154,0.7034649476228848,0.505529158432067,0.3008945345815787,35,,
,1151,,,,,,35,0.9889063835144043,0.06949878484010696
0.00040391536883141455,1152,,,,,,,,
,1183,3.071458339691162,0.47784045124899277,0.7389202256244963,0.5459477793844763,0.22302646202770351,36,,
,1183,,,,,,36,0.9947397112846375,0.042801275849342346
0.0003969463130731183,1184,,,,,,,,
,1215,4.757772922515869,0.29653505237711525,0.5229653505237711,0.2603308865146187,0.2212228945656447,37,,
,1215,,,,,,37,0.9484895467758179,0.16545027494430542
0.0003897982258676867,1216,,,,,,,,
,1247,3.095195770263672,0.46414182111200647,0.6913779210314263,0.33591057388585777,0.2728616793329937,38,,
,1247,,,,,,38,0.9306769967079163,0.19802118837833405
0.00038247981605830125,1248,,,,,,,,
,1279,11.962739944458008,0.20709105560032232,0.5149073327961321,0.21826342938614898,0.1692758269003599,39,,
,1279,,,,,,39,0.9212499856948853,0.23083670437335968
0.000375,1280,,,,,,,,
,1311,3.608527421951294,0.40773569701853346,0.5713134568896051,0.3927194377742313,0.35893660742053923,40,,
,1311,,,,,,40,0.8908855319023132,0.3065992295742035
0.0003673678906964727,1312,,,,,,,,
,1343,3.7470877170562744,0.3714746172441579,0.5294117647058824,0.46915283470323915,0.2925931989203572,41,,
,1343,,,,,,41,0.9229167103767395,0.22015073895454407
